competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt,imdb,rpt,cold,1,3c,,
rpt,imdb,rpt,cold,1,11b,,
rpt,imdb,rpt,cold,1,10a,,
rpt,imdb,rpt,cold,1,12c,,
rpt,imdb,rpt,cold,1,29c,,
rpt,imdb,rpt,cold,1,5c,,
rpt,imdb,rpt,cold,1,28b,,
rpt,imdb,rpt,cold,1,26a,,
rpt,imdb,rpt,cold,1,18a,,
rpt,imdb,rpt,cold,1,24b,,
rpt,imdb,rpt,cold,1,4c,,
rpt,imdb,rpt,cold,1,25b,,
rpt,imdb,rpt,cold,1,6a,,
rpt,imdb,rpt,cold,1,5a,,
rpt,imdb,rpt,cold,1,20b,,
rpt,imdb,rpt,cold,1,12a,,
rpt,imdb,rpt,cold,1,31c,,
rpt,imdb,rpt,cold,1,17d,,
rpt,imdb,rpt,cold,1,26c,,
rpt,imdb,rpt,cold,1,31b,,
rpt,imdb,rpt,cold,1,17e,,
rpt,imdb,rpt,hot,1,28a,,
rpt,imdb,rpt,hot,1,9b,,
rpt,imdb,rpt,hot,1,15b,,
rpt,imdb,rpt,hot,1,31a,,
rpt,imdb,rpt,hot,1,6d,,
rpt,imdb,rpt,hot,1,1b,,
rpt,imdb,rpt,hot,1,14a,,
rpt,imdb,rpt,hot,1,17a,,
rpt,imdb,rpt,hot,1,19b,,
rpt,imdb,rpt,hot,1,13a,,
rpt,imdb,rpt,hot,1,32b,,
rpt,imdb,rpt,hot,1,26b,,
rpt,imdb,rpt,hot,1,13d,,
rpt,imdb,rpt,hot,1,6c,,
rpt,imdb,rpt,hot,1,4a,,
rpt,imdb,rpt,hot,1,20a,,
rpt,imdb,rpt,hot,1,25a,,
rpt,imdb,rpt,hot,1,22a,,
rpt,imdb,rpt,hot,1,10b,,
rpt,imdb,rpt,hot,1,8b,,
rpt,imdb,rpt,hot,1,6b,,
rpt,imdb,rpt,hot,1,13c,,
rpt,imdb,rpt,hot,1,18b,,
rpt,imdb,rpt,hot,1,7c,,
rpt,imdb,rpt,hot,1,9a,,
rpt,imdb,rpt,hot,1,17c,,
rpt,imdb,rpt,hot,1,28c,,
rpt,imdb,rpt,hot,1,23b,,
rpt,imdb,rpt,hot,1,24a,,
rpt,imdb,rpt,hot,1,1a,,
rpt,imdb,rpt,hot,1,3a,,
rpt,imdb,rpt,hot,1,15a,,
rpt,imdb,rpt,hot,1,8c,,
rpt,imdb,rpt,hot,1,7a,,
rpt,imdb,rpt,hot,1,23a,,
rpt,imdb,rpt,hot,1,1c,,
rpt,imdb,rpt,hot,1,1d,,
rpt,imdb,rpt,hot,1,19d,,
rpt,imdb,rpt,hot,1,13b,,
rpt,imdb,rpt,hot,1,11a,,
rpt,imdb,rpt,hot,1,23c,,
rpt,imdb,rpt,hot,1,16d,,
rpt,imdb,rpt,hot,1,2a,,
rpt,imdb,rpt,hot,1,32a,,
rpt,imdb,rpt,hot,1,7b,,
rpt,imdb,rpt,hot,1,17f,,
rpt,imdb,rpt,hot,1,29b,,
rpt,imdb,rpt,hot,1,9c,,
rpt,imdb,rpt,hot,1,19a,,
rpt,imdb,rpt,hot,1,6e,,
rpt,imdb,rpt,hot,1,21a,,
rpt,imdb,rpt,hot,1,10c,,
rpt,imdb,rpt,hot,1,27a,,
rpt,imdb,rpt,hot,1,14b,,
rpt,imdb,rpt,hot,1,15c,,
rpt,imdb,rpt,hot,1,16c,,
rpt,imdb,rpt,hot,1,20c,,
rpt,imdb,rpt,hot,1,25c,,
rpt,imdb,rpt,hot,1,2d,,
rpt,imdb,rpt,hot,1,3b,,
rpt,imdb,rpt,hot,1,33b,,
rpt,imdb,rpt,hot,1,17b,,
rpt,imdb,rpt,hot,1,12b,,
rpt,imdb,rpt,hot,1,21c,,
rpt,imdb,rpt,hot,1,11c,,
rpt,imdb,rpt,hot,1,30a,,
rpt,imdb,rpt,hot,1,22c,,
rpt,imdb,rpt,hot,1,27c,,
rpt,imdb,rpt,hot,1,9d,,
rpt,imdb,rpt,hot,1,15d,,
rpt,imdb,rpt,hot,1,2b,,
rpt,imdb,rpt,hot,1,22b,,
rpt,imdb,rpt,hot,1,22d,,
rpt,imdb,rpt,hot,1,33c,,
rpt,imdb,rpt,hot,1,14c,,
rpt,imdb,rpt,hot,1,19c,,
rpt,imdb,rpt,hot,1,8d,,
rpt,imdb,rpt,hot,1,29a,,
rpt,imdb,rpt,hot,1,27b,,
rpt,imdb,rpt,hot,1,4b,,
rpt,imdb,rpt,hot,1,21b,,
rpt,imdb,rpt,hot,1,8a,,
rpt,imdb,rpt,hot,1,18c,,
rpt,imdb,rpt,hot,1,33a,,
rpt,imdb,rpt,hot,1,2c,,
rpt,imdb,rpt,hot,1,30c,,
rpt,imdb,rpt,hot,1,30b,,
rpt,imdb,rpt,hot,1,5b,,
rpt,imdb,rpt,hot,1,6f,,
rpt,imdb,rpt,hot,1,16b,,
rpt,imdb,rpt,hot,1,11d,,
rpt,imdb,rpt,hot,1,16a,,
rpt,imdb,rpt,hot,1,3c,,
rpt,imdb,rpt,hot,1,11b,,
rpt,imdb,rpt,hot,1,10a,,
rpt,imdb,rpt,hot,1,12c,,
rpt,imdb,rpt,hot,1,29c,,
rpt,imdb,rpt,hot,1,5c,,
rpt,imdb,rpt,hot,1,28b,,
rpt,imdb,rpt,hot,1,26a,,
rpt,imdb,rpt,hot,1,18a,,
rpt,imdb,rpt,hot,1,24b,,
rpt,imdb,rpt,hot,1,4c,,
rpt,imdb,rpt,hot,1,25b,,
rpt,imdb,rpt,hot,1,6a,,
rpt,imdb,rpt,hot,1,5a,,
rpt,imdb,rpt,hot,1,20b,,
rpt,imdb,rpt,hot,1,12a,,
rpt,imdb,rpt,hot,1,31c,,
rpt,imdb,rpt,hot,1,17d,,
rpt,imdb,rpt,hot,1,26c,,
rpt,imdb,rpt,hot,1,31b,,
rpt,imdb,rpt,hot,1,17e,,
